Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K15,Temperature,◦C,-,-,13.3,16.3,18.6,24.5,20.5
K15,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K15,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K15,TOC,ppm,2,4,0.621,0.459,0.752,0.445,0.814
K15,Total Soluble Solids,ppm,1000(1500),-,563.2,268.8,411.5,324.5,250.1
K15,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K15,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K16,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K16,Al,ppm,0.1(0.2),5,0.005,0.52,0.15,0.13,0.005
K16,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K16,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K16,Ba,ppm,0.7,1,0.71,0.12,0.005,0.005,0.005
K16,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K16,Br-,ppm,(6)2,-,48.07,50.2,47.9,72.11,87.13
K16,Ca,ppm,300,-,177.1,132.7,142.2,92.7,79.4
K16,Cd,ppm,3,0.01,1,1,1,1,1
K16,Cl-,ppm,250(400),600,44.8,100.3,134.7,58.3,88.2
K16,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K16,Cr,ppm,0.05,0.1,0.005,0.22,0.005,0.005,0.005
K16,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K16,Electrical Conductivity,mS.cm-1,1.5,3,0.894,0.724,0.922,0.63,0.87
K16,F-,ppm,0.5-1.5,1,0.02,0.005,0.14,0.06,0.005
K16,Fe,ppm,0.3,5,0.02,0.005,0.005,0.005,0.07
K16,Hg,ppm,6,-,0.11,0.13,0.15,1,1
K16,K,ppm,12,-,1.3,1.82,2.01,3.9,2.21
K16,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K16,Mg,ppm,30,100,27.1,23.3,17.3,20.2,18.9
K16,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K16,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
